account_id,customer_id,account_type,account_status,currency,open_date
DEMO-FIXTURE-A-STRUCTURING,DEMO-FIXTURE-C-STRUCTURING,SAVINGS,ACTIVE,USD,2029-01-15
DEMO-FIXTURE-A-RAPID,DEMO-FIXTURE-C-RAPID,SAVINGS,ACTIVE,USD,2029-01-15
DEMO-FIXTURE-A-HIGH_RISK,DEMO-FIXTURE-C-HIGH_RISK,SAVINGS,ACTIVE,USD,2029-01-15
DEMO-FIXTURE-A-ROUND,DEMO-FIXTURE-C-ROUND,SAVINGS,ACTIVE,USD,2029-01-15
DEMO-FIXTURE-A-BEHAVIOR,DEMO-FIXTURE-C-BEHAVIOR,SAVINGS,ACTIVE,USD,2029-01-15
DEMO-FIXTURE-A-HIGH_VALUE_RISK,DEMO-FIXTURE-C-HIGH_VALUE_RISK,SAVINGS,ACTIVE,USD,2029-01-15
DEMO-FIXTURE-A-HIGH_STRUCTURING,DEMO-FIXTURE-C-HIGH_STRUCTURING,SAVINGS,ACTIVE,USD,2029-01-15
DEMO-FIXTURE-A-HIGH_DOMESTIC,DEMO-FIXTURE-C-HIGH_DOMESTIC,SAVINGS,ACTIVE,USD,2029-01-15
DEMO-FIXTURE-A-CRITICAL_RAPID,DEMO-FIXTURE-C-CRITICAL_RAPID,SAVINGS,ACTIVE,USD,2029-01-15
DEMO-FIXTURE-A-CRITICAL_LAYERING,DEMO-FIXTURE-C-CRITICAL_LAYERING,SAVINGS,ACTIVE,USD,2029-01-15
DEMO-FIXTURE-A-CRITICAL_FX,DEMO-FIXTURE-C-CRITICAL_FX,SAVINGS,ACTIVE,INR,2029-01-15
DEMO-FIXTURE-A-LOW_CTR,DEMO-FIXTURE-C-LOW_CTR,SAVINGS,ACTIVE,USD,2029-01-15
DEMO-FIXTURE-A-NORMAL,DEMO-FIXTURE-C-NORMAL,SAVINGS,ACTIVE,USD,2029-01-15
