customer_id,first_name,last_name,country,kyc_status,risk_rating,customer_segment
DEMO-FIXTURE-C-STRUCTURING,Synthetic,Structuring,IN,VERIFIED,LOW,RETAIL
DEMO-FIXTURE-C-RAPID,Synthetic,Rapid,IN,VERIFIED,LOW,RETAIL
DEMO-FIXTURE-C-HIGH_RISK,Synthetic,High_Risk,IN,VERIFIED,LOW,RETAIL
DEMO-FIXTURE-C-ROUND,Synthetic,Round,IN,VERIFIED,LOW,RETAIL
DEMO-FIXTURE-C-BEHAVIOR,Synthetic,Behavior,IN,VERIFIED,LOW,RETAIL
DEMO-FIXTURE-C-HIGH_VALUE_RISK,Synthetic,High_Value_Risk,IN,VERIFIED,LOW,RETAIL
DEMO-FIXTURE-C-HIGH_STRUCTURING,Synthetic,High_Structuring,IN,VERIFIED,LOW,RETAIL
DEMO-FIXTURE-C-HIGH_DOMESTIC,Synthetic,High_Domestic,IN,VERIFIED,LOW,RETAIL
DEMO-FIXTURE-C-CRITICAL_RAPID,Synthetic,Critical_Rapid,IN,VERIFIED,LOW,RETAIL
DEMO-FIXTURE-C-CRITICAL_LAYERING,Synthetic,Critical_Layering,IN,VERIFIED,LOW,RETAIL
DEMO-FIXTURE-C-CRITICAL_FX,Synthetic,Critical_Fx,IN,VERIFIED,LOW,RETAIL
DEMO-FIXTURE-C-LOW_CTR,Synthetic,Low_Ctr,IN,VERIFIED,LOW,RETAIL
DEMO-FIXTURE-C-NORMAL,Synthetic,Normal,IN,VERIFIED,LOW,RETAIL
