transaction_ref,account_id,amount,currency,transaction_type,direction,counterparty_name,counterparty_account,counterparty_country,channel,jurisdiction,description,transaction_time
TXN_00000001,ACC_000001,45000.00,INR,TRANSFER,DEBIT,Acme Trading Pvt Ltd,CP_1001,IN,RTGS,IN,Vendor settlement,2026-09-01T10:15:00Z
TXN_00000002,ACC_000001,9500.00,INR,CASH_DEPOSIT,CREDIT,Self Branch Deposit,,IN,CASH,IN,Branch cash deposit,2026-09-01T11:05:00Z
TXN_00000003,ACC_000001,9600.00,INR,CASH_DEPOSIT,CREDIT,Self Branch Deposit,,IN,CASH,IN,Branch cash deposit,2026-09-01T11:36:00Z
TXN_00000004,ACC_000001,9700.00,INR,CASH_DEPOSIT,CREDIT,Self Branch Deposit,,IN,CASH,IN,Branch cash deposit,2026-09-01T12:20:00Z
TXN_00000005,ACC_000002,12000.00,USD,WIRE,DEBIT,Sunrise Holdings Ltd,CP_7781,AE,SWIFT,AE,Offshore advisory fee,2026-09-01T14:00:00Z
TXN_00000006,ACC_000002,9999.00,INR,UPI,DEBIT,M R Traders,CP_2210,IN,UPI,IN,Goods purchase,2026-09-02T09:10:00Z
TXN_00000007,ACC_000001,150000.00,INR,TRANSFER,DEBIT,Nova Exports LLP,CP_5512,CH,RTGS,CH,Business transfer,2026-09-02T15:45:00Z
TXN_00000008,ACC_000002,2500.00,EUR,CARD,DEBIT,Crypto Exchange EU,CP_9930,AE,CARD,AE,Digital asset purchase,2026-09-02T18:30:00Z
TXN_00000009,ACC_000001,8900.00,INR,CASH_DEPOSIT,CREDIT,Self Branch Deposit,,IN,CASH,IN,Branch cash deposit,2026-09-03T10:00:00Z
TXN_00000010,ACC_000002,300000.00,INR,TRANSFER,CREDIT,Shell Logistics,CP_4400,IN,RTGS,IN,Inbound settlement,2026-09-03T16:20:00Z
