transaction_ref,account_id,amount,currency,transaction_type,direction,counterparty_country,channel,jurisdiction,description,transaction_time
DEMO-FIXTURE-T-STRUCTURING-1,DEMO-FIXTURE-A-STRUCTURING,9500,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: STRUCTURING,2030-01-15T12:00:00Z
DEMO-FIXTURE-T-STRUCTURING-2,DEMO-FIXTURE-A-STRUCTURING,9500,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: STRUCTURING,2030-01-15T12:01:00Z
DEMO-FIXTURE-T-STRUCTURING-3,DEMO-FIXTURE-A-STRUCTURING,9500,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: STRUCTURING,2030-01-15T12:02:00Z
DEMO-FIXTURE-T-RAPID-DEPOSIT,DEMO-FIXTURE-A-RAPID,10000,USD,CASH_DEPOSIT,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: RAPID,2030-01-15T12:00:00Z
DEMO-FIXTURE-T-RAPID-OUTBOUND,DEMO-FIXTURE-A-RAPID,8500,USD,TRANSFER,OUTBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: RAPID,2030-01-15T12:30:00Z
DEMO-FIXTURE-T-HIGH_RISK-1,DEMO-FIXTURE-A-HIGH_RISK,1,USD,TRANSFER,INBOUND,IR,ONLINE,IR,Synthetic Sentinel demo: HIGH_RISK,2030-01-15T12:00:00Z
DEMO-FIXTURE-T-ROUND-1,DEMO-FIXTURE-A-ROUND,1000,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: ROUND,2030-01-15T12:00:00Z
DEMO-FIXTURE-T-ROUND-2,DEMO-FIXTURE-A-ROUND,1000,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: ROUND,2030-01-15T12:01:00Z
DEMO-FIXTURE-T-ROUND-3,DEMO-FIXTURE-A-ROUND,1000,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: ROUND,2030-01-15T12:02:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-090,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-10-17T12:00:00Z
